Id,IsDeleted,MasterRecordId,AccountId,Salutation,FirstName,LastName,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,EmailBouncedReason,EmailBouncedDate,Jigsaw,JigsawContactId,CleanStatus,IndividualId,Level__c,Languages__c
0035g00000Eo8opAAB,0,,0015g00000QwEowAAF,Ms.,Rose,Gonzalez,,,,,,,,,"313 Constitution Place Austin, TX 78767 USA",,,,,,,,(512) 757-6000,(512) 757-9000,(512) 757-9340,,,,,rose@edge.com,"SVP, Procurement",Procurement,,Trade Show,21/08/1969 0:00,,0055g00000D0tsKAAR,0,0,0,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,,,,,,,,Pending,,Primary,English
0035g00000Eo8oqAAB,0,,0015g00000QwEowAAF,Mr.,Sean,Forbes,,,,,,,,,"312 Constitution Place Austin, TX 78767 USA",,,,,,,,(512) 757-6000,(512) 757-9000,(512) 757-4561,,,,,sean@edge.com,CFO,Finance,,Trade Show,19/05/1948 0:00,,0055g00000D0tsKAAR,0,0,0,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,,,,,,,,Pending,,Secondary,English
0035g00000Eo8orAAB,0,,0015g00000QwEoxAAF,Mr.,Jack,Rogers,,,,,,,,,525 S. Lexington Ave,Burlington,NC,27215,USA,,,,(336) 222-7000,(336) 222-8000,,,,,,jrogers@burlington.com,"VP, Facilities",,,Web,,,0055g00000D0tsKAAR,0,0,0,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,,,,,,,,Pending,,,
0035g00000Eo8osAAB,0,,0015g00000QwEoyAAF,Ms.,Pat,Stumuller,2 Place Jussieu,Paris,,75251,France,,,,2 Place Jussieu,Paris,,75251,France,,,,(014) 427-4427,(014) 427-4428,(014) 454-6364,,,(014) 427-4465,,pat@pyramid.net,"SVP, Administration and Finance",Finance,Jean Marie,,,,0055g00000D0tsKAAR,0,0,0,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,,,,,,,,Pending,,Primary,"French, English"
0035g00000Eo8otAAB,0,,0015g00000QwEozAAF,Mr,Andy,Young,1301 Hoch Drive,Lawrence,KS,66045,USA,,,,1301 Hoch Drive,Lawrence,KS,66045,USA,,,,(785) 241-6200,,(785) 265-5350,,,,,a_young@dickenson.com,"SVP, Operations",Internal Operations,,Purchased List,,,0055g00000D0tsKAAR,0,0,0,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,,,,,,,,Pending,,Primary,English
0035g00000Eo8ouAAB,0,,0015g00000QwEp0AAF,Mr.,Tim,Barr,,,,,,,,,"2335 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,(312) 596-1230,,,,,barr_tim@grandhotels.com,"SVP, Administration and Finance",Finance,,External Referral,17/04/1955 0:00,,0055g00000D0tsKAAR,0,0,0,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,,,,,,,,Pending,,Secondary,English
0035g00000Eo8ovAAB,0,,0015g00000QwEp0AAF,Mr.,John,Bond,,,,,,,,,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,(312) 596-1563,,,,,bond_john@grandhotels.com,"VP, Facilities",Facilities,,External Referral,28/06/1957 0:00,,0055g00000D0tsKAAR,0,0,0,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,,,,,,,,Pending,,Primary,English
0035g00000Eo8owAAB,0,,0015g00000QwEp1AAF,Ms.,Stella,Pavlova,,,,,,,,,"1303 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-5501,,(212) 842-5543,(212) 842-5589,,spavlova@uog.com,"SVP, Production",Production,Audrey Haynes,Public Relations,12/12/1944 0:00,,0055g00000D0tsKAAR,0,0,0,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,,,,,,,,Pending,,Tertiary,English
0035g00000Eo8oxAAB,0,,0015g00000QwEp1AAF,Ms.,Lauren,Boyle,,,,,,,,,"1304 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-5611,,,,,lboyle@uog.com,"SVP, Technology",Technology,,Public Relations,25/01/1962 0:00,,0055g00000D0tsKAAR,0,0,0,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,,,,,,,,Pending,,Secondary,English
0035g00000Eo8oyAAB,0,,0015g00000QwEp2AAF,Ms.,Babara,Levy,,,,,,,,,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",,,,,,,,(503) 421-7800,(503) 421-7801,(503) 421-5451,,,(503) 421-6782,,b.levy@expressl&t.net,"SVP, Operations",Operations,Ron Sage,Word of mouth,29/07/1938 0:00,,0055g00000D0tsKAAR,0,0,0,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,0055g00000D0tsKAAR,09/09/2021 8:22,,,,,,,,Pending,,Primary,English
